Country	GNP	ISO
Afghanistan	550	AFG
Albania	4860	ALB
Algeria	4060	DZA
American Samoa	..	ASM
Andorra	..	AND
Angola	3370	AGO
Antigua and Barbuda	15810	ATG
Argentina	12370	ARG
Armenia	4230	ARM
Aruba	23630	ABW
Australia	53190	AUS
Austria	49250	AUT
Azerbaijan	4050	AZE
Bahamas The	30210	BHS
Bahrain	21890	BHR
Bangladesh	1750	BGD
Barbados	15240	BRB
Belarus	5670	BLR
Belgium	45430	BEL
Belize	4720	BLZ
Benin	870	BEN
Bermuda	..	BMU
Bhutan	3080	BTN
Bolivia	3370	BOL
Bosnia and Herzegovina	5690	BIH
Botswana	7750	BWA
Brazil	9140	BRA
Brunei Darussalam	31020	BRN
Bulgaria	8860	BGR
Burkina Faso	660	BFA
Burundi	280	BDI
Cabo Verde	3450	CPV
Cambodia	1380	KHM
Cameroon	1440	CMR
Canada	44860	CAN
Cayman Islands	..	CYM
Central African Republic	480	CAF
Chad	670	TCD
Chile	14670	CHL
China	9470	CHN
Colombia	6190	COL
Comoros	1320	COM
Congo Dem. Rep.	490	COD
Congo Rep.	1640	COG
Costa Rica	11510	CRI
Cote d'Ivoire	1610	CIV
Croatia	13830	HRV
Cuba	..	CUB
Cyprus	26300	CYP
Czech Republic	20250	CZE
Denmark	60140	DNK
Djibouti	2180	DJI
Dominica	7210	DMA
Dominican Republic	7370	DOM
Ecuador	6120	ECU
Egypt Arab Rep.	2800	EGY
El Salvador	3820	SLV
Equatorial Guinea	7050	GNQ
Eritrea	..	ERI
Estonia	20990	EST
Eswatini	3850	SWZ
Ethiopia	790	ETH
Faroe Islands	..	FRO
Fiji	5860	FJI
Finland	47820	FIN
France	41070	FRA
French Polynesia	..	PYF
Gabon	6800	GAB
Gambia The	700	GMB
Georgia	4130	GEO
Germany	47450	DEU
Ghana	2130	GHA
Greece	19540	GRC
Greenland	..	GRL
Grenada	9780	GRD
Guam	..	GUM
Guatemala	4410	GTM
Guinea	830	GIN
Guinea-Bissau	750	GNB
Guyana	4760	GUY
Haiti	800	HTI
Honduras	2330	HND
Hong Kong SAR China	50310	HKG
Hungary	14590	HUN
Iceland	60740	ISL
India	2020	IND
Indonesia	3840	IDN
Iran Islamic Rep.	5470	IRN
Iraq	5030	IRQ
Ireland	59360	IRL
Isle of Man	80340	IMN
Israel	40850	ISR
Italy	33560	ITA
Jamaica	4990	JAM
Japan	41340	JPN
Jordan	4210	JOR
Kazakhstan	7830	KAZ
Kenya	1620	KEN
Kiribati	3140	KIR
Korea Rep.	30600	KOR
Kuwait	33690	KWT
Kyrgyz Republic	1220	KGZ
Lao PDR	2460	LAO
Latvia	16880	LVA
Lebanon	7690	LBN
Lesotho	1380	LSO
Liberia	600	LBR
Libya	6330	LBY
Liechtenstein	..	LIE
Lithuania	17360	LTU
Luxembourg	77820	LUX
Macao SAR China	78320	MAC
Madagascar	440	MDG
Malawi	360	MWI
Malaysia	10460	MYS
Maldives	9310	MDV
Mali	830	MLI
Malta	26220	MLT
Marshall Islands	4740	MHL
Mauritania	1190	MRT
Mauritius	12050	MUS
Mexico	9180	MEX
Micronesia Fed. Sts.	3580	FSM
Moldova	2990	MDA
Monaco	..	MCO
Mongolia	3580	MNG
Montenegro	8400	MNE
Morocco	3090	MAR
Mozambique	440	MOZ
Myanmar	1310	MMR
Namibia	5250	NAM
Nauru	11240	NRU
Nepal	960	NPL
Netherlands	51280	NLD
New Caledonia	..	NCL
New Zealand	40820	NZL
Nicaragua	2030	NIC
Niger	380	NER
Nigeria	1960	NGA
North Macedonia	5450	MKD
Norway	80790	NOR
Oman	15110	OMN
Pakistan	1580	PAK
Palau	16910	PLW
Panama	14370	PAN
Papua New Guinea	2530	PNG
Paraguay	5680	PRY
Peru	6530	PER
Philippines	3830	PHL
Poland	14150	POL
Portugal	21680	PRT
Puerto Rico	21100	PRI
Qatar	61190	QAT
Romania	11290	ROU
Russian Federation	10230	RUS
Rwanda	780	RWA
Samoa	4190	WSM
San Marino	..	SMR
Sao Tome and Principe	1890	STP
Saudi Arabia	21540	SAU
Senegal	1410	SEN
Serbia	6390	SRB
Seychelles	15600	SYC
Sierra Leone	500	SLE
Singapore	58770	SGP
Slovak Republic	18330	SVK
Slovenia	24670	SVN
Solomon Islands	2000	SLB
Somalia	..	SOM
South Africa	5720	ZAF
South Sudan	460	SDS
Spain	29450	ESP
Sri Lanka	4060	LKA
Sudan	1560	SDN
Suriname	4990	SUR
Sweden	55070	SWE
Switzerland	83580	CHE
Syrian Arab Republic	..	SYR
Tajikistan	1010	TJK
Thailand	6610	THA
Timor-Leste	1820	TLS
Togo	650	TGO
Tonga	4300	TON
Trinidad and Tobago	16240	TTO
Tunisia	3500	TUN
Turkey	10380	TUR
Turkmenistan	6740	TKM
Turks and Caicos Islands	26740	TCA
Tuvalu	5430	TUV
Uganda	620	UGA
Ukraine	2660	UKR
United Arab Emirates	41010	ARE
United Kingdom	41330	GBR
United Republic of Tanzania	1020	TZA
United States	62850	USA
Uruguay	15650	URY
Uzbekistan	2020	UZB
Vanuatu	2970	VUT
Venezuela RB	..	VEN
Vietnam	2400	VNM
West Bank and Gaza	3710	PSE
Yemen Rep.	960	YEM
Zambia	1430	ZMB
Zimbabwe	1790	ZWE
