Country;ISO;Convention;Protocol
Afghanistan;AFG;2005;2005
Albania;ALB;1992;1992
Algeria;DZA;1963;1967
Angola;AGO;1981;1981
Antigua and Barbuda;ATG;1995;1995
Argentina;ARG;1961;1967
Armenia;ARM;1993;1993
Australia;AUS;1954;1973
Austria;AUT;1954;1973
Azerbaijan;AZE;1993;1993
Bahamas;BHS;1993;1993
Belarus;BLR;2001;2001
Belgium;BEL;1953;1969
Belize;BLZ;1990;1990
Benin;BEN;1962;1970
Bolivia;BOL;1982;1982
Bosnia and Herzegovina;BIH;1993;1993
Botswana;BWA;1969;1969
Brazil;BRA;1960;1972
Bulgaria;BGR;1993;1993
Burkina Faso;BFA;1980;1980
Burundi;BDI;1963;1971
Cambodia;KHM;1992;1992
Cameroon;CMR;1961;1967
Canada;CAN;1969;1969
Cape Verde;CPV;;1987
Central African Republic;CAF;1962;1967
Chad;TCD;1981;1981
Chile;CHL;1972;1972
China;CHN;1982;1982
Colombia;COL;1961;1980
Congo;COG;1962;1970
Costa Rica;CRI;1978;1978
Côte d'Ivoire;CIV;1961;1970
Croatia;HRV;1992;1992
Cyprus;CYP;1963;1968
Czech Republic;CZE;1993;1993
Democratic Republic of the Congo;COD;1965;1975
Denmark;DNK;1952;1968
Djibouti;DJI;1977;1977
Dominica;DMA;1994;1994
Dominican Republic;DOM;1978;1978
Ecuador;ECU;1955;1969
Egypt;EGY;1981;1981
El Salvador;SLV;1983;1983
Equatorial Guinea;GNQ;1986;1986
Estonia;EST;1997;1997
Ethiopia;ETH;1969;1969
Fiji;FJI;1972;1972
Finland;FIN;1968;1968
France;FRA;1954;1971
Gabon;GAB;1964;1973
Gambia;GMB;1966;1967
Georgia;GEO;1999;1999
Germany;DEU;1953;1969
Ghana;GHA;1963;1968
Greece;GRC;1960;1968
Guatemala;GTM;1983;1983
Guinea;GIN;1965;1968
Guinea-Bissau;GNB;1976;1976
Haiti;HTI;1984;1984
Holy See;VAT;1956;1967
Honduras;HND;1992;1992
Hungary;HUN;1989;1989
Iceland;ISL;1955;1968
Iran, Islamic Republic of;IRN;1976;1976
Ireland;IRL;1956;1968
Israel;ISR;1954;1968
Italy;ITA;1954;1972
Jamaica;JAM;1964;1980
Japan;JPN;1981;1982
Kazakhstan;KAZ;1999;1999
Kenya;KEN;1966;1981
Kyrgyzstan;KGZ;1996;1996
Latvia;LVA;1997;1997
Lesotho;LSO;1981;1981
Liberia;LBR;1964;1980
Liechtenstein;LIE;1957;1968
Lithuania;LTU;1997;1997
Luxembourg;LUX;1953;1971
Madagascar;MDG;1967;
Malawi;MWI;1987;1987
Mali;MLI;1973;1973
Malta;MLT;1971;1971
Mauritania;MRT;1987;1987
Mexico;MEX;2000;2000
Moldova;MDA;2002;2002
Monaco;MCO;1954;2010
Montenegro;MNE;2006;2006
Morocco;MAR;1956;1971
Mozambique;MOZ;1983;1989
Namibia;NAM;1995;1995
Nauru;NRU;2011;2011
Netherlands;NLD;1956;1968
New Zealand;NZL;1960;1973
Nicaragua;NIC;1980;1980
Niger;NER;1961;1970
Nigeria;NGA;1967;1968
Norway;NOR;1953;1967
Panama;PAN;1978;1978
Papua New Guinea;PNG;1986;1986
Paraguay;PRY;1970;1970
Peru;PER;1964;1983
Philippines;PHL;1981;1981
Poland;POL;1991;1991
Portugal;PRT;1960;1976
Republic of Korea;KOR;1992;1992
Romania;ROU;1991;1991
Russian Federation;RUS;1993;1993
Rwanda;RWA;1980;1980
Saint Kitts and Nevis;KNA;2002;
Saint Vincent and the Grenadines;VCT;1993;2003
Samoa;WSM;1988;1994
Sao Tome and Principe;STP;1978;1978
Senegal;SEN;1963;1967
Serbia;SRB;2001;2001
Seychelles;SYC;1980;1980
Sierra Leone;SLE;1981;1981
Slovakia;SVK;1993;1993
Slovenia;SVN;1992;1992
Solomon Islands;SLB;1995;1995
Somalia;SOM;1978;1978
South Africa;ZAF;1996;1996
Spain;ESP;1978;1978
Sudan;SDN;1974;1974
Suriname;SUR;1978;1978
Swaziland;SWZ;2000;1969
Sweden;SWE;1954;1967
Switzerland;CHE;1955;1968
Tajikistan;TJK;1993;1993
The former Yugoslav Republic of Macedonia;MKD;1994;1994
Timor-Leste;TLS;2003;2003
Togo;TGO;1962;1969
Trinidad and Tobago;TTO;2000;2000
Tunisia;TUN;1957;1968
Turkey;TUR;1962;1968
Turkmenistan;TKM;1998;1998
Tuvalu;TUV;1986;1986
Uganda;UGA;1976;1976
Ukraine;UKR;2002;2002
United Kingdom of Great Britain and Northern Ireland;GBR;1954;1968
United Republic of Tanzania;TZA;1964;1968
United States of America;USA;;1968
Uruguay;URY;1970;1970
Venezuela (Bolivarian Republic of);VEN;;1986
Yemen;YEM;1980;1980
Zambia;ZMB;1969;1969
Zimbabwe;ZWE;1981;1981
