Rank;Donor;ISO;Contributions2018(USD)
75;Algeria;DZA;100000
106;Andorra;AND;6173
63;Argentina;ARG;429546
86;Armenia;ARM;49000
19;Australia;AUS;45687312
48;Austria;AUT;1230518
112;Azerbaijan;AZE;3600
26;Belgium;BEL;15666086
113;Bosnia and Herzegovina;BIH;3000
97;Botswana;BWA;15236
111;Brazil;BRA;690246
74;Bulgaria;BGR;107025
8;Canada;CAN;77625158
79;Chile;CHL;70000
49;China;CHN;7848095
96;Costa Rica;CRI;15413
100;Croatia;HRV;12479
43;Czechia;CZE;2142991
9;Denmark;DNK;66098517
105;Egypt;EGY;7024
58;Estonia;EST;505667
23;Finland;FIN;18864119
14;France;FRA;39594597
4;Germany;DEU;150788682
115;Ghana;GHA;1436
81;Greece;GRC;65420
94;Holy See;VAT;20000
46;Hungary;HUN;1430261
54;Iceland;ISL;752128
104;India;IND;13367
83;Indonesia;IDN;472950
28;Ireland;IRL;14600284
76;Israel;ISR;100000
16;Italy;ITA;52656661
5;Japan;JPN;135952275
110;Jordan;JOR;3951
71;Kazakhstan;KAZ;135974
85;Kenya;KEN;50047
15;Kuwait;KWT;39625149
91;Kyrgyzstan;KGZ;30128
57;Lebanon;LBN;571959
66;Liechtenstein;LIE;304569
77;Lithuania;LTU;71270
32;Luxembourg;LUX;8714932
62;Malaysia;MYS;435034
70;Malta;MLT;145362
55;Mexico;MEX;691392
61;Monaco;MCO;506009
84;Montenegro;MNE;53221
99;Morocco;MAR;12799
11;Netherlands;NLD;51743847
37;New Zealand;NZL;20038969
90;Nigeria;NGA;42577
7;Norway;NOR;75153684
93;Oman;OMN;21827
88;Philippines;PHL;866629
89;Poland;POL;33000
95;Portugal;PRT;20000
33;Qatar;QAT;50819476
21;Republic of Korea;KOR;50414159
73;Romania;ROU;112147
44;Russian Federation;RUS;2000000
12;Saudi Arabia;SAU;48090180
80;Serbia;SRB;66667
82;Singapore;SGP;528871
69;Slovakia;SVK;249237
87;Slovenia;SVN;47790
103;South Africa;ZAF;14244
36;Spain;ESP;63700899
98;Sri Lanka;LKA;15000
3;Sweden;SWE;153323858
18;Switzerland;CHE;37409341
72;Thailand;THA;3460387
67;Turkey;TUR;300023
17;United Arab Emirates;ARE;39196015
6;United Kingdom of Great Britain and Northern Ireland;GBR;78752455
1;United States of America;USA;1312138029
92;Uruguay;URY;30000
