name,iso_n3
Aruba,"533"
Afghanistan,"004"
Angola,"024"
Anguilla,"660"
Albania,"008"
Aland,"248"
Andorra,"020"
United Arab Emirates,"784"
Argentina,"032"
Armenia,"051"
American Samoa,"016"
Antarctica,"010"
Ashmore and Cartier Is.,"036"
Fr. S. Antarctic Lands,"260"
Antigua and Barbuda,"028"
Australia,"036"
Austria,"040"
Azerbaijan,"031"
Burundi,"108"
Belgium,"056"
Benin,"204"
Burkina Faso,"854"
Bangladesh,"050"
Bulgaria,"100"
Bahrain,"048"
Bahamas,"044"
Bosnia and Herzegovina,"070"
St-Barth�lemy,"652"
Belarus,"112"
Belize,"084"
Bermuda,"060"
Bolivia,"068"
Brazil,"076"
Barbados,"052"
Brunei,"096"
Bhutan,"064"
Botswana,"072"
Central African Rep.,"140"
Canada,"124"
Switzerland,"756"
Chile,"152"
China,"156"
Côte d'Ivoire,"384"
Cameroon,"120"
Dem. Rep. of the Congo,"180"
Congo,"178"
Cook Is.,"184"
Colombia,"170"
Comoros,"174"
Cape Verde,"132"
Costa Rica,"188"
Cuba,"192"
Cura�ao,"531"
Cayman Is.,"136"
N. Cyprus,"-99"
Cyprus,"196"
Czechia,"203"
Germany,"276"
Djibouti,"262"
Dominica,"212"
Denmark,"208"
Dominican Rep.,"214"
Algeria,"012"
Ecuador,"218"
Egypt,"818"
Eritrea,"232"
Spain,"724"
Estonia,"233"
Ethiopia,"231"
Finland,"246"
Fiji,"242"
Falkland Is.,"238"
France,"250"
Faeroe Is.,"234"
Micronesia,"583"
Gabon,"266"
United Kingdom,"826"
Georgia,"268"
Guernsey,"831"
Ghana,"288"
Guinea,"324"
Gambia,"270"
Guinea-Bissau,"624"
Equatorial Guinea,"226"
Greece,"300"
Grenada,"308"
Greenland,"304"
Guatemala,"320"
Guam,"316"
Guyana,"328"
Hong Kong,"344"
Heard I. and McDonald Is.,"334"
Honduras,"340"
Croatia,"191"
Haiti,"332"
Hungary,"348"
Indonesia,"360"
Isle of Man,"833"
India,"356"
Indian Ocean Ter.,"-99"
Br. Indian Ocean Ter.,"086"
Ireland,"372"
Iran,"364"
Iraq,"368"
Iceland,"352"
Israel,"376"
Italy,"380"
Jamaica,"388"
Jersey,"832"
Jordan,"400"
Japan,"392"
Siachen Glacier,"-99"
Kazakhstan,"398"
Kenya,"404"
Kyrgyzstan,"417"
Cambodia,"116"
Kiribati,"296"
St. Kitts and Nevis,"659"
Rep. of Korea,"410"
Kosovo,"-99"
Kuwait,"414"
Lao PDR,"418"
Lebanon,"422"
Liberia,"430"
Libya,"434"
Saint Lucia,"662"
Liechtenstein,"438"
Sri Lanka,"144"
Lesotho,"426"
Lithuania,"440"
Luxembourg,"442"
Latvia,"428"
Macao,"446"
St-Martin,"663"
Morocco,"504"
Monaco,"492"
Moldova,"498"
Madagascar,"450"
Maldives,"462"
Mexico,"484"
Marshall Is.,"584"
Macedonia,"807"
Mali,"466"
Malta,"470"
Myanmar,"104"
Montenegro,"499"
Mongolia,"496"
N. Mariana Is.,"580"
Mozambique,"508"
Mauritania,"478"
Montserrat,"500"
Mauritius,"480"
Malawi,"454"
Malaysia,"458"
Namibia,"516"
New Caledonia,"540"
Niger,"562"
Norfolk Island,"574"
Nigeria,"566"
Nicaragua,"558"
Niue,"570"
Netherlands,"528"
Norway,"578"
Nepal,"524"
Nauru,"520"
New Zealand,"554"
Oman,"512"
Pakistan,"586"
Panama,"591"
Pitcairn Is.,"612"
Peru,"604"
Philippines,"608"
Palau,"585"
Papua New Guinea,"598"
Poland,"616"
Puerto Rico,"630"
Dem. People's Rep. of Korea,"408"
Portugal,"620"
Paraguay,"600"
Palestine,"275"
Fr. Polynesia,"258"
Qatar,"634"
Romania,"642"
Russia,"643"
Rwanda,"646"
Western Sahara,"732"
Saudi Arabia,"682"
Sudan,"729"
South Sudan,"728"
Senegal,"686"
Singapore,"702"
S. Geo. and S. Sandw. Is.,"239"
Saint Helena,"654"
Solomon Is.,"090"
Sierra Leone,"694"
El Salvador,"222"
San Marino,"674"
Somaliland,"-99"
Somalia,"706"
St. Pierre and Miquelon,"666"
Serbia,"688"
Sao Tome and Principe,"678"
Suriname,"740"
Slovakia,"703"
Slovenia,"705"
Sweden,"752"
eSwatini,"748"
Sint Maarten,"534"
Seychelles,"690"
Syria,"760"
Turks and Caicos Is.,"796"
Chad,"148"
Togo,"768"
Thailand,"764"
Tajikistan,"762"
Turkmenistan,"795"
Timor-Leste,"626"
Tonga,"776"
Trinidad and Tobago,"780"
Tunisia,"788"
Turkey,"792"
Taiwan,"158"
Tanzania,"834"
Uganda,"800"
Ukraine,"804"
Uruguay,"858"
United States,"840"
Uzbekistan,"860"
Vatican,"336"
St. Vin. and Gren.,"670"
Venezuela,"862"
British Virgin Is.,"092"
U.S. Virgin Is.,"850"
Vietnam,"704"
Vanuatu,"548"
Wallis and Futuna Is.,"876"
Samoa,"882"
Yemen,"887"
South Africa,"710"
Zambia,"894"
Zimbabwe,"716"
,
,
,
