origin,pop,iso_n3
Afghanistan,"2655014","004"
Albania,"12906","008"
Algeria,"4184","012"
Angola,"8330","024"
Antigua and Barbuda,"97","028"
Argentina,"102","032"
Armenia,"10909","051"
Azerbaijan,"11142","031"
The Bahamas,"392","044"
Bahrain,"515","048"
Bangladesh,"19256","050"
Barbados,"195","052"
Belarus,"3625","112"
Belgium,"50","056"
Belize,"59","084"
Benin,"621","204"
Bhutan,"7290","064"
Bolivia,"500","068"
Bosnia and Herzegovina,"17591","070"
Botswana,"280","072"
Brazil,"923","076"
Bulgaria,"677","100"
Burkina Faso,"10275","854"
Burundi,"403100","108"
Cambodia,"12123","116"
Cameroon,"35095","120"
Canada,"76","124"
Cayman Islands,"6","136"
Central African Republic,"580568","140"
Chad,"11678","148"
Chile,"471","152"
China,"209792","156"
Hong Kong S.A.R.,"6","344"
Colombia,"192375","170"
Comoros,"584","174"
Republic of Congo,"13449","178"
Costa Rica,"190","188"
Croatia,"24888","191"
Cuba,"5396","192"
Czech Republic,"1276","203"
Ivory Coast,"38970","384"
North Korea,"1001","408"
Democratic Republic of the Congo,"686082","180"
Djibouti,"2011","262"
Dominica,"27","212"
Dominican Republic,"423","214"
Ecuador,"1318","218"
Egypt,"23442","818"
El Salvador,"28672","222"
Equatorial Guinea,"119","226"
Eritrea,"495732","232"
Estonia,"277","233"
Ethiopia,"89558","231"
Fiji,"704","242"
France,"50","250"
Gabon,"283","266"
Gambia,"16376","270"
Georgia,"6692","268"
Germany,"57","276"
Ghana,"17695","288"
Greece,"101","300"
Grenada,"101","308"
Guatemala,"17886","320"
Guinea,"23059","324"
Guinea Bissau,"1965","624"
Guyana,"263","328"
Haiti,"28038","332"
Honduras,"16006","340"
Hungary,"3742","348"
India,"8563","356"
Indonesia,"12327","360"
Iran,"124738","364"
Iraq,"372272","368"
Israel,"483","376"
Italy,"51","380"
Jamaica,"2347","388"
Japan,"42","392"
Jordan,"2276","400"
Kazakhstan,"2493","398"
Kenya,"7475","404"
Kuwait,"1098","414"
Kyrgyzstan,"2832","417"
Laos,"6974","418"
Latvia,"148","428"
Lebanon,"5556","422"
Lesotho,"6","426"
Liberia,"5576","430"
Libya,"12687","434"
Lithuania,"55","440"
Madagascar,"275","450"
Malawi,"424","454"
Malaysia,"640","458"
Maldives,"60","462"
Mali,"160172","466"
Marshall Islands,"7","584"
Mauritania,"36640","478"
Mauritius,"137","480"
Mexico,"12293","484"
Mongolia,"2219","496"
Montenegro,"720","499"
Morocco,"3565","504"
Mozambique,"40","508"
Myanmar,"1173763","104"
Namibia,"1346","516"
Nepal,"8466","524"
Netherlands,"35","528"
New Zealand,"34","554"
Nicaragua,"1491","558"
Niger,"1590","562"
Nigeria,"266946","566"
Niue,"19","570"
Oman,"28","512"
Pakistan,"134591","586"
Palestine,"101066","275"
Panama,"34","591"
Papua New Guinea,"421","598"
Paraguay,"61","600"
Peru,"2559","604"
Philippines,"474","608"
Poland,"1072","616"
Portugal,"6","620"
Qatar,"31","634"
South Korea,"233","410"
Moldova,"2374","498"
Romania,"1206","642"
Russia,"61904","643"
Rwanda,"248656","646"
Saint Kitts and Nevis,"53","659"
Saint Lucia,"1009","662"
Saint Vincent and the Grenadines,"1273","670"
Sao Tome and Principe,"26","678"
Saudi Arabia,"1354","682"
Senegal,"28127","686"
Republic of Serbia,"32955","688"
Seychelles,"5","690"
Sierra Leone,"4668","694"
Singapore,"42","702"
Slovakia,"1088","703"
Slovenia,"18","705"
Solomon Islands,"45","090"
Somalia,"954655","706"
South Africa,"455","710"
South Sudan,"2214564","728"
Spain,"36","724"
Sri Lanka,"114568","144"
Sudan,"719167","729"
Suriname,"19","740"
Sweden,"17","752"
Syria,"6490906","760"
Tajikistan,"1577","762"
Thailand,"160","764"
Macedonia,"1734","807"
East Timor,"8","626"
Togo,"8121","768"
Tonga,"33","776"
Trinidad and Tobago,"312","780"
Tunisia,"1888","788"
Turkey,"65713","792"
Turkmenistan,"385","795"
Turks and Caicos Islands,"14","796"
Uganda,"6579","800"
Ukraine,"119805","804"
United Arab Emirates,"147","784"
United Kingdom,"84","826"
United Republic of Tanzania,"687","834"
United States of America,"290","840"
Uruguay,"7","858"
Uzbekistan,"3340","860"
Venezuela,"12619","862"
Vietnam,"334290","704"
Western Sahara,"200329","732"
Yemen,"26737","887"
Zambia,"259","894"
Zimbabwe,"16438","716"
Swaziland,"224","748"
